accelX,accelY,accelZ,actualServoPos1,actualServoPos2,actualServoPos3,actualServoPos4,altitude,cx,cy,desiredServoPos1,desiredServoPos2,desiredServoPos3,desiredServoPos4,epochTime,gpsAltAGL,gpsAltMSL,gpsLat,gpsLock,gpsLong,gyroX,gyroY,gyroZ,i,initialAltitude,j,k,loopCount,magX,magY,magZ,posX,posY,posZ,pressure,rawMagX,rawMagY,rawMagZ,rssi,satellites,state,targetGpsLat,targetGpsLong,temperature,timestamp,trajA,trajB,trajC,trajD,velX,velY,velZ,w,internalTimestamp
0.006,-0.088,0.987,0,0,0,0,896.624634,0,0,0,0,0,0,0,0,891.38,31.0443611,1,-103.535217,1.54,-0.28,-1.4,-0.597303212,0,-0.798540771,-0.072421894,53960,0,0,0,-1280267.75,-5318296,3270571,910.07251,0,0,0,-89,13,0,0,0,66,2810954,0,0,0,0,-2.34239697,-7.60074902,7.88433456,-0.01779536,1.74976E+12
0.006,-0.09,0.987,0,0,0,0,896.713318,0,0,0,0,0,0,0,0,891.416,31.0443611,1,-103.535217,1.54,-0.21,-1.05,-0.484232962,0,-0.871779144,-0.073524721,53961,0,0,0,-1280267.75,-5318296,3270571,910.062744,0,0,0,-92,13,0,0,0,66.01,2811004,0,0,0,0,-2.68712163,-9.03851,1.80520105,-0.010663251,1.74976E+12
0.004,-0.085,0.987,0,0,0,0,896.465,0,0,0,0,0,0,0,0,891.432,31.0443611,1,-103.535217,1.61,-0.28,-1.26,-0.233847365,0,-0.969616175,-0.071721643,53962,0,0,0,-1280268,-5318296,3270570.75,910.090088,0,0,0,-90,13,0,0,0,66,2811054,0,0,0,0,-2.60724521,-9.8591013,-4.01854515,0.003994517,1.74976E+12
0,-0.088,0.987,0,0,0,0,896.352,0,0,0,0,0,0,0,0,891.419,31.0443611,1,-103.535217,1.54,-0.28,-1.33,0.03345095,0,-0.997172,-0.064728364,53963,0,0,0,-1280268,-5318296.5,3270570.75,910.102539,0,0,0,-94,13,0,0,0,66.01,2811104,0,0,0,0,-1.75519085,-9.659338,-3.5071857,0.018419283,1.74976E+12
0.004,-0.094,0.987,0,0,0,0,896.40741,0,0,0,0,0,0,0,0,891.371,31.0443611,1,-103.535217,1.54,-0.35,-1.75,0.980687559,0,-0.186877146,0.020072481,53968,0,0,0,-1280267.88,-5318296.5,3270570.75,910.096436,0,0,0,-96,13,0,0,0,66,2811354,0,0,0,0,-1.19123626,-6.59863758,5.36066055,0.054091934,1.74976E+12
0.009,-0.09,0.987,0,0,0,0,896.438416,0,0,0,0,0,0,0,0,891.366,31.0443611,1,-103.535217,1.54,-0.35,-1.68,0.994687855,0,0.081276707,0.038222317,53969,0,0,0,-1280267.88,-5318296,3270570.5,910.093,0,0,0,-95,13,0,0,0,66.01,2811404,0,0,0,0,-1.13623023,-5.35488033,-13.1346,0.050291766,1.74976E+12
0.006,-0.088,0.987,0,0,0,0,896.485,0,0,0,0,0,0,0,0,891.361,31.0443611,1,-103.535217,1.54,-0.28,-1.33,0.936637878,0,0.343498677,0.053725075,53970,0,0,0,-1280267.88,-5318296,3270570.75,910.087891,0,0,0,-92,13,0,0,0,66.01,2811454,0,0,0,0,-1.07666588,-6.16585112,6.41086864,0.042800095,1.74976E+12
0.005,-0.088,0.987,0,0,0,0,896.225586,0,0,0,0,0,0,0,0,891.412,31.0443611,1,-103.535217,1.54,-0.21,-0.77,0.81079,0,0.580781758,0.065362267,53971,0,0,0,-1280267.88,-5318296,3270570.75,910.116455,0,0,0,-99,13,0,0,0,66.01,2811504,0,0,0,0,-1.00769746,-6.97729492,-5.74202061,0.03224837,1.74976E+12
0.006,-0.09,0.987,0,0,0,0,896.300964,0,0,0,0,0,0,0,0,891.437,31.0443611,1,-103.535217,1.54,-0.21,-1.4,0.62611264,0,0.776145,0.0721733,53972,0,0,0,-1280267.88,-5318296,3270570.5,910.108154,0,0,0,-91,13,0,0,0,66.01,2811554,0,0,0,0,-0.932256,-7.78701,1.1254034,0.019314703,1.74976E+12
0.002,-0.089,0.987,0,0,0,0,895.941833,0,0,0,0,0,0,0,0,891.408,31.0443611,1,-103.535217,1.54,-0.28,-1.47,-0.172296837,0,0.983308613,0.050820716,53975,0,0,0,-1280267.88,-5318296,3270570.75,910.147705,0,0,0,-95,13,0,0,0,66,2811704,0,0,0,0,-0.697412789,-10.2496309,-3.67402458,-0.028901693,1.74976E+12
